GENE	EVENT	COORD	LENGTH	COMPLEX	FOREBRAIN.ADOLESCENT_ERR2598266	FOREBRAIN.ADOLESCENT_ERR2598267	FOREBRAIN.ADOLESCENT_ERR2598268	FOREBRAIN.ADOLESCENT_ERR2598269	FOREBRAIN.ELDERLY_ERR2598280	FOREBRAIN.ELDERLY_ERR2598281	FOREBRAIN.MIDDLE_ADULT_ERR2598305	FOREBRAIN.MIDDLE_ADULT_ERR2598306	FOREBRAIN.YOUNG_ADULT_ERR2598346	FOREBRAIN.YOUNG_ADULT_ERR2598347	FOREBRAIN.YOUNG_ADULT_ERR2598348	FOREBRAIN.YOUNG_ADULT_ERR2598349	FOREBRAIN.YOUNG_ADULT_ERR2598350	HEART.ADOLESCENT_ERR2598270	HEART.MIDDLE_ADULT_ERR2598307	HEART.YOUNG_ADULT_ERR2598351	LIVER.ADOLESCENT_ERR2598275	LIVER.ELDERLY_ERR2598284	LIVER.ELDERLY_ERR2598285	LIVER.MIDDLE_ADULT_ERR2598310	LIVER.YOUNG_ADULT_ERR2598357	LIVER.YOUNG_ADULT_ERR2598358	LIVER.YOUNG_ADULT_ERR2598359
NSUN2	HsaEX0043940	chr5:6605400-6605488	89	S	100.0	100.0	100.0	100.0	100.0	96.72	100.0	100.0	100.0	100.0	100.0	100.0	93.1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PSMA4	HsaEX0050582	chr15:78838917-78839040	124	S	98.78	97.33	93.89	95.05	98.28	100.0	97.21	96.59	97.83	97.53	97.67	96.26	96.15	97.17	96.9	96.24	97.06	100.0	97.06	96.88	98.32	96.14	99.21
AP2S1	HsaEX0004935	chr19:47342722-47342835	114	S	100.0	99.08	98.62	100.0	100.0	98.09	99.36	99.86	100.0	100.0	99.25	100.0	100.0	99.17	99.21	99.21	99.68	99.21	99.0	100.0	98.8	100.0	99.27
TPR	HsaEX0066732	chr1:186287865-186287960	96	S	100.0	98.1	98.18	100.0	94.87	100.0	97.75	98.11	100.0	100.0	98.45	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
HEXB	HsaEX0029842	chr5:74012412-74012498	87	S	100.0	98.31	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.83	100.0	100.0	100.0	100.0	98.5	100.0	100.0
HERPUD1	HsaEX0029815	chr16:56969316-56969387	72	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.26	100.0	100.0	100.0	96.79	100.0	98.62	100.0	98.8	100.0	98.81
USE1	HsaEX0069536	chr19:17330022-17330196	175	S	100.0	98.99	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.94	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PET112L	HsaEX0046613	chr4:152593914-152594048	135	S	98.23	98.48	96.52	95.52	97.09	91.3	98.06	99.39	90.24	100.0	99.49	98.8	97.67	96.08	98.8	99.22	100.0	98.76	95.72	99.19	85.19	86.44	97.06
BRP44L	HsaEX0008491	chr6:166779462-166779544	83	S	100.0	100.0	100.0	99.23	99.88	99.54	100.0	99.35	96.25	100.0	100.0	100.0	100.0	98.94	99.73	100.0	99.55	100.0	100.0	100.0	98.47	100.0	98.98
ACAA1	HsaEX0001660	chr3:38167653-38167832	180	S	100.0	93.19	87.33	89.38	99.35	97.73	93.86	97.0	97.8	99.21	89.73	96.34	98.6	97.81	95.51	93.57	91.09	98.65	95.51	95.59	98.82	98.35	97.44
HAGH	HsaEX0029225	chr16:1869116-1869224	109	S	98.07	98.69	98.35	94.55	96.42	98.28	98.92	98.68	97.65	98.71	98.62	98.55	98.74	98.5	98.57	98.79	98.65	98.67	96.91	97.65	98.95	98.38	97.87
AP3D1	HsaEX0004961	chr19:2108686-2108765	80	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SLC9A3R2	HsaEX0060040	chr16:2086325-2086504	180	S	100.0	96.58	100.0	100.0	100.0	100.0	100.0	97.53	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.77	97.53	100.0	99.4	100.0	100.0	100.0
KARS	HsaEX0032864	chr16:75668071-75668190	120	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
TLE2	HsaEX0065072	chr19:3000645-3000721	77	S	96.3	95.83	98.79	100.0	95.12	100.0	92.11	96.4	93.55	91.3	95.72	97.37	91.38	90.0	95.6	96.43	100.0	97.67	98.52	98.32	100.0	93.94	100.0
GOLGA5	HsaEX0027985	chr14:93303731-93303794	64	S	100.0	94.63	100.0	100.0	100.0	97.7	100.0	91.97	100.0	85.04	93.75	88.2	100.0	89.62	100.0	97.88	97.05	94.93	87.38	100.0	100.0	94.11	95.79
IDH3G	HsaEX0030896	chrX:153051667-153051727	61	S	100.0	99.29	100.0	98.13	100.0	98.32	99.55	99.75	100.0	100.0	99.47	99.42	100.0	100.0	99.76	100.0	99.52	100.0	100.0	100.0	98.04	100.0	98.4
SIRT2	HsaEX0058430	chr19:39370272-39370342	71	S	98.13	99.38	99.72	100.0	100.0	100.0	99.16	99.13	100.0	100.0	100.0	100.0	100.0	100.0	99.47	100.0	100.0	98.66	100.0	100.0	89.19	100.0	100.0
ERLEC1	HsaEX0023088	chr2:54041680-54041757	78	S	100.0	99.11	100.0	100.0	97.53	100.0	98.66	99.48	100.0	100.0	99.0	99.45	96.61	100.0	99.17	100.0	100.0	98.91	100.0	100.0	100.0	100.0	100.0
NUCB2	HsaEX0044134	chr11:17323291-17323417	127	S	94.87	97.92	95.0	100.0	97.37	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.24	100.0	100.0	98.61	94.59	100.0	100.0	100.0
EIF2B3	HsaEX0021931	chr1:45323376-45323476	101	S	92.13	97.27	94.23	93.34	96.47	97.66	94.45	90.49	93.0	94.35	96.13	86.61	97.18	95.88	93.24	93.61	87.81	91.02	100.0	94.28	92.58	96.09	97.88
DAZAP1	HsaEX0018545	chr19:1433738-1433826	89	S	5.66	2.22	2.79	2.7	8.64	6.12	1.2	5.43	5.75	5.45	3.28	1.3	3.08	2.07	4.31	2.22	1.67	5.56	1.33	2.74	8.4	4.7	5.19
PRKACA	HsaEX0050090	chr19:14204545-14204604	60	S	100.0	99.52	100.0	100.0	100.0	100.0	100.0	99.55	100.0	100.0	98.78	100.0	100.0	100.0	100.0	99.69	99.63	99.11	99.63	100.0	100.0	97.06	100.0
HSD17B10	HsaEX0030525	chrX:53458773-53458854	82	S	97.33	98.73	98.8	100.0	98.81	99.48	97.7	99.0	99.18	100.0	98.84	100.0	98.69	99.25	97.12	99.13	94.92	98.37	98.68	100.0	99.6	99.16	99.5
AP1M1	HsaEX0004901	chr19:16339581-16339739	159	S	95.56	100.0	95.42	90.0	100.0	100.0	100.0	94.01	100.0	100.0	99.4	98.98	100.0	100.0	98.3	99.37	100.0	96.1	96.85	100.0	100.0	97.92	97.85
TSG101	HsaEX0067551	chr11:18528404-18528470	67	S	98.26	100.0	100.0	100.0	98.29	100.0	100.0	100.0	100.0	100.0	99.56	100.0	95.6	97.22	100.0	100.0	100.0	100.0	99.29	98.04	100.0	100.0	100.0
C19orf10	HsaEX0009921	chr19:4660681-4660762	82	S	98.42	95.16	96.75	95.18	100.0	97.73	97.55	93.88	97.7	95.02	94.71	93.23	92.66	99.56	95.81	96.96	94.42	95.14	96.04	100.0	97.94	99.09	97.83
TUBE1	HsaEX0068316	chr6:112393961-112394101	141	S	96.28	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
EIF4G3	HsaEX0022061	chr1:21137231-21137377	147	S	91.79	95.49	98.98	92.59	100.0	95.12	95.76	95.7	100.0	91.11	97.3	95.65	92.86	93.33	96.17	94.92	94.51	93.46	99.0	95.0	93.75	91.11	94.59
ACAT1	HsaEX0001823	chr11:108005869-108005969	101	S	100.0	100.0	86.67	95.65	100.0	100.0	97.53	98.77	96.43	97.85	95.7	98.02	96.92	99.28	98.72	99.08	100.0	94.67	97.47	99.27	98.92	99.34	98.61
MCCC1	HsaEX0038197	chr3:182735054-182735125	72	S	100.0	100.0	98.7	100.0	100.0	100.0	98.13	100.0	98.95	100.0	99.03	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
FDFT1	HsaEX0025493	chr8:11687753-11687929	177	S	100.0	99.55	99.29	100.0	100.0	96.67	98.96	98.92	99.0	92.59	99.52	99.27	100.0	98.2	99.58	99.47	98.41	98.93	99.48	98.2	100.0	98.16	97.5
KIF22	HsaEX0034530	chr16:29816436-29816495	60	S	100.0	97.28	97.0	98.47	97.96	98.86	100.0	100.0	96.81	100.0	98.57	100.0	96.03	99.1	97.62	100.0	100.0	100.0	100.0	98.08	97.41	98.13	96.77
SMARCA2	HsaEX0060271	chr9:2170419-2170472	54	S	3.26	8.49	7.25	8.57	6.12	14.29	5.6	6.52	16.67	7.69	5.76	6.16	15.38	22.35	5.86	5.54	6.19	6.93	4.99	5.56	12.2	14.29	37.5
SMARCA2	HsaEX0060272	chr9:2191266-2191408	143	S	97.32	98.66	96.25	97.79	100.0	90.91	98.51	98.44	100.0	100.0	98.55	99.06	100.0	100.0	94.98	99.71	96.5	98.62	99.02	98.29	91.92	100.0	97.73
EIF3I	HsaEX0022002	chr1:32694736-32694809	74	S	100.0	99.13	100.0	100.0	100.0	96.09	99.06	97.18	98.29	100.0	98.6	100.0	98.5	100.0	98.94	99.57	97.34	99.2	99.19	100.0	98.39	100.0	100.0
CTTN	HsaEX0017943	chr11:70279753-70279824	72	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SRRT	HsaEX0061798	chr7:100485899-100486004	106	S	100.0	100.0	100.0	100.0	100.0	99.05	100.0	100.0	100.0	100.0	98.89	100.0	100.0	98.6	98.57	98.73	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GNAS	HsaEX0027841	chr20:57473996-57474040	45	S	97.54	98.21	83.29	98.62	66.12	40.54	97.18	98.28	45.16	59.38	95.9	97.87	56.62	47.98	98.12	96.93	98.39	98.52	95.74	69.27	38.92	38.92	51.63
MAPKAPK5	HsaEX0037823	chr12:112326689-112326804	116	S	95.65	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.61
FUS	HsaEX0026600	chr16:31198123-31198157	35	S	95.67	99.63	99.46	97.39	86.22	95.4	96.74	98.87	74.67	79.86	97.16	99.36	94.78	92.76	98.77	99.55	99.32	99.31	97.67	92.62	72.63	87.11	68.82
FUS	HsaEX0026601	chr16:31201596-31201719	124	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GANAB	HsaEX0026993	chr11:62394520-62394596	77	S	97.81	100.0	100.0	100.0	100.0	100.0	100.0	99.08	100.0	100.0	97.9	99.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.45	100.0	100.0	100.0
PCBP4	HsaEX0045801	chr3:51993911-51994039	129	S	95.81	95.55	94.39	100.0	100.0	100.0	97.05	99.48	100.0	96.36	98.17	98.23	98.11	100.0	98.89	94.9	99.08	96.96	98.13	95.73	100.0	100.0	94.75
PCBP4	HsaEX0045802	chr3:51994542-51994653	112	S	97.79	100.0	100.0	100.0	100.0	100.0	100.0	99.26	100.0	100.0	100.0	98.56	100.0	100.0	99.39	99.15	100.0	98.71	100.0	100.0	100.0	100.0	100.0
YPEL3	HsaEX0072024	chr16:30106424-30106467	44	S	99.11	99.39	100.0	100.0	95.45	100.0	100.0	99.63	100.0	100.0	100.0	100.0	100.0	100.0	99.33	100.0	98.98	100.0	100.0	100.0	100.0	100.0	100.0
GNPTG	HsaEX0027929	chr16:1412039-1412132	94	S	100.0	99.58	99.61	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.69	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
USP48	HsaEX0069952	chr1:22030005-22030111	107	S	100.0	100.0	94.48	100.0	100.0	100.0	98.1	100.0	100.0	100.0	100.0	100.0	89.29	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.06
AARS	HsaEX0000156	chr16:70291956-70292120	165	S	99.12	100.0	99.13	100.0	100.0	95.24	100.0	99.7	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.05	100.0	99.68	100.0	100.0	97.8	93.55
AARS	HsaEX0000157	chr16:70296249-70296387	139	S	100.0	100.0	100.0	98.7	100.0	100.0	100.0	99.73	86.36	100.0	99.63	100.0	100.0	98.18	100.0	100.0	100.0	100.0	99.84	100.0	100.0	100.0	96.55
OSGEP	HsaEX0044971	chr14:20916063-20916153	91	S	100.0	100.0	100.0	100.0	100.0	96.97	100.0	100.0	100.0	100.0	99.05	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RNF31	HsaEX0054109	chr14:24629073-24629169	97	S	100.0	100.0	96.67	100.0	83.67	95.65	100.0	100.0	94.59	94.29	97.59	100.0	100.0	100.0	97.92	96.49	100.0	100.0	100.0	94.74	100.0	100.0	96.67
AAAS	HsaEX0000111	chr12:53701629-53701700	72	S	96.67	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
AAAS	HsaEX0000112	chr12:53708535-53708633	99	S	80.0	82.22	95.49	73.68	92.0	100.0	80.95	75.81	100.0	100.0	86.55	80.95	100.0	100.0	80.0	76.19	77.36	88.89	72.88	91.58	96.23	100.0	100.0
NUBP2	HsaEX0044117	chr16:1838162-1838208	47	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MRPS18A	HsaEX0040176	chr6:43642939-43642989	51	S	94.91	86.37	91.62	80.33	94.17	95.72	89.62	93.54	92.29	100.0	89.45	90.5	100.0	98.54	91.46	90.25	87.18	91.57	91.81	95.11	100.0	97.67	100.0
SH3GLB1	HsaEX0058022	chr1:87207891-87208119	229	S	100.0	98.06	98.26	95.3	100.0	97.48	97.18	97.45	100.0	88.3	100.0	100.0	96.91	100.0	97.94	100.0	100.0	100.0	100.0	98.36	97.45	100.0	100.0
ARVCF	HsaEX0006128	chr22:19959881-19959934	54	S	100.0	96.88	95.24	100.0	100.0	100.0	100.0	98.04	100.0	100.0	97.47	100.0	86.67	91.67	100.0	100.0	100.0	100.0	100.0	93.55	100.0	100.0	100.0
MED15	HsaEX0038594	chr22:20939142-20939302	161	S	97.3	99.06	100.0	100.0	100.0	92.86	100.0	99.06	100.0	100.0	99.15	100.0	100.0	100.0	100.0	100.0	100.0	97.58	100.0	100.0	100.0	100.0	100.0
LZTR1	HsaEX0037129	chr22:21351175-21351255	81	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.91	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SNRPD3	HsaEX0060715	chr22:24963952-24964144	193	S	95.23	95.71	97.79	96.21	98.27	94.92	96.97	91.9	98.53	94.19	96.14	91.07	95.14	98.19	94.5	94.64	95.07	92.74	97.24	96.3	99.37	99.07	98.53
LGALS1	HsaEX0035663	chr22:38074490-38074661	172	S	98.62	98.36	98.48	98.23	98.82	96.97	98.27	99.32	97.13	97.91	98.23	97.21	99.2	96.1	99.12	98.67	98.06	99.34	98.44	99.48	97.37	98.78	97.19
CBY1	HsaEX0012786	chr22:39067081-39067193	113	S	100.0	94.59	90.62	87.5	100.0	100.0	96.15	90.1	100.0	85.71	88.75	97.18	92.11	100.0	98.23	93.55	85.29	92.98	92.31	96.12	100.0	100.0	100.0
FBXO7	HsaEX0025352	chr22:32887073-32887168	96	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.59	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.04
ARSA	HsaEX0006059	chr22:51064033-51064109	77	S	87.1	100.0	100.0	100.0	86.96	97.14	95.18	94.59	100.0	100.0	94.44	100.0	97.65	100.0	98.02	100.0	97.56	95.92	94.12	100.0	100.0	100.0	100.0
TXN2	HsaEX0068436	chr22:36872780-36872903	124	S	94.02	94.89	96.93	96.54	100.0	93.67	94.32	96.1	97.67	92.38	96.1	96.38	99.04	93.75	95.03	94.41	93.4	94.45	92.96	99.7	96.16	97.71	95.65
RABL4	HsaEX0051838	chr22:37162182-37162241	60	S	100.0	98.77	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PSMA3	HsaEX0050581	chr14:58727687-58727738	52	S	97.04	100.0	99.22	100.0	100.0	100.0	100.0	98.17	100.0	100.0	97.89	97.99	100.0	100.0	99.05	99.06	100.0	100.0	98.48	98.48	97.79	100.0	100.0
SRSF5	HsaEX0061801	chr14:70235515-70235613	99	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.76	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SRP54	HsaEX0061733	chr14:35492116-35492286	171	S	100.0	98.31	96.24	100.0	100.0	94.94	97.04	99.14	100.0	100.0	97.72	98.78	100.0	100.0	99.26	96.35	97.33	100.0	99.02	100.0	98.21	100.0	100.0
FAM158A	HsaEX0024071	chr14:24608754-24608823	70	S	100.0	100.0	100.0	97.96	100.0	100.0	97.98	100.0	100.0	100.0	98.18	100.0	100.0	100.0	100.0	100.0	100.0	97.7	96.92	100.0	100.0	100.0	100.0
GMPR2	HsaEX0027811	chr14:24707452-24707611	160	S	95.29	96.88	100.0	97.98	100.0	95.45	95.74	98.79	100.0	100.0	99.33	100.0	96.49	100.0	97.86	97.22	92.34	98.77	99.0	96.3	100.0	100.0	100.0
GSS	HsaEX0028856	chr20:33523379-33523445	67	S	100.0	100.0	100.0	97.66	100.0	100.0	97.32	98.92	100.0	75.27	100.0	97.24	90.62	100.0	99.17	97.95	98.07	98.18	96.56	100.0	97.22	100.0	100.0
ABHD12	HsaEX0000599	chr20:25287469-25287551	83	S	97.95	99.65	100.0	100.0	100.0	100.0	99.38	100.0	100.0	100.0	100.0	99.4	100.0	100.0	100.0	99.66	99.58	100.0	100.0	100.0	100.0	100.0	100.0
CTSZ	HsaEX0017940	chr20:57571694-57571856	163	S	85.71	98.91	98.24	94.74	95.51	99.26	82.67	87.07	97.79	97.7	100.0	96.25	94.39	99.79	100.0	99.34	98.68	98.31	100.0	95.32	100.0	100.0	100.0
PRPF6	HsaEX0050393	chr20:62648076-62648198	123	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.31	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PRPF6	HsaEX0050394	chr20:62657292-62657411	120	S	94.63	98.55	100.0	100.0	100.0	100.0	97.46	98.32	93.52	100.0	96.69	94.68	100.0	100.0	95.17	97.94	97.7	97.5	100.0	98.24	100.0	100.0	100.0
HM13	HsaEX0030147	chr20:30142549-30142632	84	S	88.95	96.43	92.77	100.0	91.23	90.8	91.01	98.75	87.35	90.45	90.09	94.2	100.0	98.32	96.26	96.64	90.91	97.28	91.23	100.0	95.27	95.83	97.4
CDK5RAP1	HsaEX0014306	chr20:31948157-31948297	141	S	78.08	82.02	88.46	86.21	81.08	100.0	86.32	80.58	100.0	96.23	77.43	78.31	93.44	100.0	86.23	83.78	94.69	84.0	79.49	74.0	100.0	100.0	100.0
ACOT8	HsaEX0001964	chr20:44472166-44472360	195	S	100.0	89.17	88.96	92.0	83.78	100.0	89.86	100.0	100.0	100.0	90.83	98.18	90.0	100.0	95.73	94.0	93.55	92.75	94.74	97.22	100.0	96.83	93.22
NAA10	HsaEX0041447	chrX:153197524-153197568	45	S	97.78	96.68	97.29	94.69	100.0	96.49	94.41	94.98	97.62	95.35	95.62	95.52	95.97	94.12	97.11	98.03	97.57	96.48	98.71	99.14	96.52	97.85	98.64
CDK16	HsaEX0014284	chrX:47085171-47085265	95	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.39	100.0	97.89	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CDK16	HsaEX0014285	chrX:47085678-47085801	124	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.64	100.0	100.0	100.0	100.0	100.0	100.0	99.75	100.0	99.71	99.33	100.0	100.0	100.0	100.0	100.0
FAM48A	HsaEX0024468	chr13:37591382-37591462	81	S	91.53	96.37	97.7	91.0	100.0	96.3	91.46	88.21	100.0	100.0	98.24	100.0	100.0	100.0	100.0	100.0	90.26	100.0	95.09	89.75	96.9	100.0	100.0
FAM48A	HsaEX0024469	chr13:37595585-37595739	155	S	93.33	100.0	100.0	100.0	100.0	100.0	100.0	100.0	91.84	100.0	100.0	100.0	93.33	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.45
MAPK3	HsaEX0037761	chr16:30128475-30128606	132	S	98.11	98.03	97.2	99.41	100.0	100.0	99.49	99.81	100.0	100.0	98.26	98.77	99.03	100.0	99.33	98.83	98.67	98.76	99.01	100.0	100.0	100.0	90.43
COG4	HsaEX0016200	chr16:70524233-70524295	63	S	100.0	97.89	96.88	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	90.91	95.35	100.0	100.0	96.67	100.0	95.35	100.0	100.0	100.0
TSC2	HsaEX0067510	chr16:2135231-2135323	93	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NME4	HsaEX0043156	chr16:449379-449480	102	S	100.0	100.0	100.0	100.0	95.55	100.0	100.0	100.0	98.66	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
TCEB2	HsaEX0064131	chr16:2825452-2825557	106	S	95.22	97.04	96.04	94.96	95.64	96.44	97.04	96.79	97.01	97.15	97.21	97.91	95.23	97.26	97.08	97.26	96.3	97.03	97.15	97.17	97.09	97.19	97.06
DNAJA3	HsaEX0020236	chr16:4504812-4504928	117	S	15.38	25.97	22.92	21.21	27.27	24.24	17.24	14.97	22.67	22.58	21.31	23.08	26.32	26.05	16.67	16.67	14.73	20.0	20.26	36.99	31.51	33.33	24.59
